DEBUG:root:start insert company for 'AAPL'
DEBUG:root:insert value for 'JNJ' in '2017-07-21'
DEBUG:root:insert value for 'JNJ' in '2017-07-20'
DEBUG:root:insert value for 'JNJ' in '2017-07-19'
DEBUG:root:insert value for 'JNJ' in '2017-07-18'
DEBUG:root:insert value for 'JNJ' in '2017-07-17'
DEBUG:root:insert value for 'JNJ' in '2017-07-14'
DEBUG:root:insert value for 'JNJ' in '2017-07-13'
DEBUG:root:insert value for 'JNJ' in '2017-07-12'
DEBUG:root:insert value for 'JNJ' in '2017-07-11'
DEBUG:root:insert value for 'JNJ' in '2017-07-10'
DEBUG:root:insert value for 'JNJ' in '2017-07-07'
DEBUG:root:insert value for 'JNJ' in '2017-07-06'
DEBUG:root:insert value for 'JNJ' in '2017-07-05'
DEBUG:root:insert value for 'JNJ' in '2017-07-03'
DEBUG:root:insert value for 'JNJ' in '2017-06-30'
DEBUG:root:insert value for 'JNJ' in '2017-06-29'
DEBUG:root:insert value for 'JNJ' in '2017-06-28'
DEBUG:root:insert value for 'JNJ' in '2017-06-27'
DEBUG:root:insert value for 'JNJ' in '2017-06-26'
DEBUG:root:insert value for 'JNJ' in '2017-06-23'
DEBUG:root:insert value for 'JNJ' in '2017-06-22'
DEBUG:root:insert value for 'JNJ' in '2017-06-21'
DEBUG:root:insert value for 'JNJ' in '2017-06-20'
DEBUG:root:insert value for 'JNJ' in '2017-06-19'
DEBUG:root:insert value for 'JNJ' in '2017-06-16'
DEBUG:root:insert value for 'JNJ' in '2017-06-15'
DEBUG:root:insert value for 'JNJ' in '2017-06-14'
DEBUG:root:insert value for 'JNJ' in '2017-06-13'
DEBUG:root:insert value for 'JNJ' in '2017-06-12'
DEBUG:root:insert value for 'JNJ' in '2017-06-09'
DEBUG:root:insert value for 'JNJ' in '2017-06-08'
DEBUG:root:insert value for 'JNJ' in '2017-06-07'
DEBUG:root:insert value for 'JNJ' in '2017-06-06'
DEBUG:root:insert value for 'JNJ' in '2017-06-05'
DEBUG:root:insert value for 'JNJ' in '2017-06-02'
DEBUG:root:insert value for 'JNJ' in '2017-06-01'
DEBUG:root:insert value for 'JNJ' in '2017-05-31'
DEBUG:root:insert value for 'JNJ' in '2017-05-30'
DEBUG:root:insert value for 'JNJ' in '2017-05-26'
DEBUG:root:insert value for 'JNJ' in '2017-05-25'
DEBUG:root:insert value for 'JNJ' in '2017-05-24'
DEBUG:root:insert value for 'JNJ' in '2017-05-23'
DEBUG:root:insert value for 'JNJ' in '2017-05-22'
DEBUG:root:insert value for 'JNJ' in '2017-05-19'
DEBUG:root:insert value for 'JNJ' in '2017-05-18'
DEBUG:root:insert value for 'JNJ' in '2017-05-17'
DEBUG:root:insert value for 'JNJ' in '2017-05-16'
DEBUG:root:insert value for 'JNJ' in '2017-05-15'
DEBUG:root:insert value for 'JNJ' in '2017-05-12'
DEBUG:root:insert value for 'JNJ' in '2017-05-11'
DEBUG:root:insert value for 'JNJ' in '2017-05-10'
DEBUG:root:insert value for 'JNJ' in '2017-05-09'
DEBUG:root:insert value for 'JNJ' in '2017-05-08'
DEBUG:root:insert value for 'JNJ' in '2017-05-05'
DEBUG:root:insert value for 'JNJ' in '2017-05-04'
DEBUG:root:insert value for 'JNJ' in '2017-05-03'
DEBUG:root:insert value for 'JNJ' in '2017-05-02'
DEBUG:root:insert value for 'JNJ' in '2017-05-01'
DEBUG:root:insert value for 'JNJ' in '2017-04-28'
DEBUG:root:insert value for 'JNJ' in '2017-04-27'
DEBUG:root:insert value for 'JNJ' in '2017-04-26'
DEBUG:root:insert value for 'JNJ' in '2017-04-25'
DEBUG:root:insert value for 'JNJ' in '2017-04-24'
DEBUG:root:insert value for 'JNJ' in '2017-04-21'
DEBUG:root:insert value for 'JNJ' in '2017-04-20'
DEBUG:root:insert value for 'JNJ' in '2017-04-19'
DEBUG:root:insert value for 'JNJ' in '2017-04-18'
DEBUG:root:insert value for 'JNJ' in '2017-04-17'
DEBUG:root:insert value for 'JNJ' in '2017-04-13'
DEBUG:root:insert value for 'JNJ' in '2017-04-12'
DEBUG:root:insert value for 'JNJ' in '2017-04-11'
DEBUG:root:insert value for 'JNJ' in '2017-04-10'
DEBUG:root:insert value for 'JNJ' in '2017-04-07'
DEBUG:root:insert value for 'JNJ' in '2017-04-06'
DEBUG:root:insert value for 'JNJ' in '2017-04-05'
DEBUG:root:insert value for 'JNJ' in '2017-04-04'
DEBUG:root:insert value for 'JNJ' in '2017-04-03'
DEBUG:root:insert value for 'JNJ' in '2017-03-31'
DEBUG:root:insert value for 'JNJ' in '2017-03-30'
DEBUG:root:insert value for 'JNJ' in '2017-03-29'
DEBUG:root:insert value for 'JNJ' in '2017-03-28'
DEBUG:root:insert value for 'JNJ' in '2017-03-27'
DEBUG:root:insert value for 'JNJ' in '2017-03-24'
DEBUG:root:insert value for 'JNJ' in '2017-03-23'
DEBUG:root:insert value for 'JNJ' in '2017-03-22'
DEBUG:root:insert value for 'JNJ' in '2017-03-21'
DEBUG:root:insert value for 'JNJ' in '2017-03-20'
DEBUG:root:insert value for 'JNJ' in '2017-03-17'
DEBUG:root:insert value for 'JNJ' in '2017-03-16'
DEBUG:root:insert value for 'JNJ' in '2017-03-15'
DEBUG:root:insert value for 'JNJ' in '2017-03-14'
DEBUG:root:insert value for 'JNJ' in '2017-03-13'
DEBUG:root:insert value for 'JNJ' in '2017-03-10'
DEBUG:root:insert value for 'JNJ' in '2017-03-09'
DEBUG:root:insert value for 'JNJ' in '2017-03-08'
DEBUG:root:insert value for 'JNJ' in '2017-03-07'
DEBUG:root:insert value for 'JNJ' in '2017-03-06'
DEBUG:root:insert value for 'JNJ' in '2017-03-03'
DEBUG:root:insert value for 'JNJ' in '2017-03-02'
DEBUG:root:insert value for 'JNJ' in '2017-03-01'
DEBUG:root:insert value for 'JNJ' in '2017-02-28'
DEBUG:root:insert value for 'JNJ' in '2017-02-27'
DEBUG:root:insert value for 'JNJ' in '2017-02-24'
DEBUG:root:insert value for 'JNJ' in '2017-02-23'
DEBUG:root:insert value for 'JNJ' in '2017-02-22'
DEBUG:root:insert value for 'JNJ' in '2017-02-21'
DEBUG:root:insert value for 'JNJ' in '2017-02-17'
DEBUG:root:insert value for 'JNJ' in '2017-02-16'
DEBUG:root:insert value for 'JNJ' in '2017-02-15'
DEBUG:root:insert value for 'JNJ' in '2017-02-14'
DEBUG:root:insert value for 'JNJ' in '2017-02-13'
DEBUG:root:insert value for 'JNJ' in '2017-02-10'
DEBUG:root:insert value for 'JNJ' in '2017-02-09'
DEBUG:root:insert value for 'JNJ' in '2017-02-08'
DEBUG:root:insert value for 'JNJ' in '2017-02-07'
DEBUG:root:insert value for 'JNJ' in '2017-02-06'
DEBUG:root:insert value for 'JNJ' in '2017-02-03'
DEBUG:root:insert value for 'JNJ' in '2017-02-02'
DEBUG:root:insert value for 'JNJ' in '2017-02-01'
DEBUG:root:insert value for 'JNJ' in '2017-01-31'
DEBUG:root:insert value for 'JNJ' in '2017-01-30'
DEBUG:root:insert value for 'JNJ' in '2017-01-27'
DEBUG:root:insert value for 'JNJ' in '2017-01-26'
DEBUG:root:insert value for 'JNJ' in '2017-01-25'
DEBUG:root:insert value for 'JNJ' in '2017-01-24'
DEBUG:root:insert value for 'JNJ' in '2017-01-23'
DEBUG:root:insert value for 'JNJ' in '2017-01-20'
DEBUG:root:insert value for 'JNJ' in '2017-01-19'
DEBUG:root:insert value for 'JNJ' in '2017-01-18'
DEBUG:root:insert value for 'JNJ' in '2017-01-17'
DEBUG:root:insert value for 'JNJ' in '2017-01-13'
DEBUG:root:insert value for 'JNJ' in '2017-01-12'
DEBUG:root:insert value for 'JNJ' in '2017-01-11'
DEBUG:root:insert value for 'JNJ' in '2017-01-10'
DEBUG:root:insert value for 'JNJ' in '2017-01-09'
DEBUG:root:insert value for 'JNJ' in '2017-01-06'
DEBUG:root:insert value for 'JNJ' in '2017-01-05'
DEBUG:root:insert value for 'JNJ' in '2017-01-04'
DEBUG:root:insert value for 'JNJ' in '2017-01-03'
DEBUG:root:insert value for 'JNJ' in '2016-12-30'
DEBUG:root:insert value for 'JNJ' in '2016-12-29'
DEBUG:root:insert value for 'JNJ' in '2016-12-28'
DEBUG:root:insert value for 'JNJ' in '2016-12-27'
DEBUG:root:insert value for 'JNJ' in '2016-12-23'
DEBUG:root:insert value for 'JNJ' in '2016-12-22'
DEBUG:root:insert value for 'JNJ' in '2016-12-21'
DEBUG:root:insert value for 'JNJ' in '2016-12-20'
DEBUG:root:insert value for 'JNJ' in '2016-12-19'
DEBUG:root:insert value for 'JNJ' in '2016-12-16'
DEBUG:root:insert value for 'JNJ' in '2016-12-15'
DEBUG:root:insert value for 'JNJ' in '2016-12-14'
DEBUG:root:insert value for 'JNJ' in '2016-12-13'
DEBUG:root:insert value for 'JNJ' in '2016-12-12'
DEBUG:root:insert value for 'JNJ' in '2016-12-09'
DEBUG:root:insert value for 'JNJ' in '2016-12-08'
DEBUG:root:insert value for 'JNJ' in '2016-12-07'
DEBUG:root:insert value for 'JNJ' in '2016-12-06'
DEBUG:root:insert value for 'JNJ' in '2016-12-05'
DEBUG:root:insert value for 'JNJ' in '2016-12-02'
DEBUG:root:insert value for 'JNJ' in '2016-12-01'
DEBUG:root:insert value for 'JNJ' in '2016-11-30'
DEBUG:root:insert value for 'JNJ' in '2016-11-29'
DEBUG:root:insert value for 'JNJ' in '2016-11-28'
DEBUG:root:insert value for 'JNJ' in '2016-11-25'
DEBUG:root:insert value for 'JNJ' in '2016-11-23'
DEBUG:root:insert value for 'JNJ' in '2016-11-22'
DEBUG:root:insert value for 'JNJ' in '2016-11-21'
DEBUG:root:insert value for 'JNJ' in '2016-11-18'
DEBUG:root:insert value for 'JNJ' in '2016-11-17'
DEBUG:root:insert value for 'JNJ' in '2016-11-16'
DEBUG:root:insert value for 'JNJ' in '2016-11-15'
DEBUG:root:insert value for 'JNJ' in '2016-11-14'
DEBUG:root:insert value for 'JNJ' in '2016-11-11'
DEBUG:root:insert value for 'JNJ' in '2016-11-10'
DEBUG:root:insert value for 'JNJ' in '2016-11-09'
DEBUG:root:insert value for 'JNJ' in '2016-11-08'
DEBUG:root:insert value for 'JNJ' in '2016-11-07'
DEBUG:root:insert value for 'JNJ' in '2016-11-04'
DEBUG:root:insert value for 'JNJ' in '2016-11-03'
DEBUG:root:insert value for 'JNJ' in '2016-11-02'
DEBUG:root:insert value for 'JNJ' in '2016-11-01'
DEBUG:root:insert value for 'JNJ' in '2016-10-31'
DEBUG:root:insert value for 'JNJ' in '2016-10-28'
DEBUG:root:insert value for 'JNJ' in '2016-10-27'
DEBUG:root:insert value for 'JNJ' in '2016-10-26'
DEBUG:root:insert value for 'JNJ' in '2016-10-25'
DEBUG:root:insert value for 'JNJ' in '2016-10-24'
DEBUG:root:insert value for 'JNJ' in '2016-10-21'
DEBUG:root:insert value for 'JNJ' in '2016-10-20'
DEBUG:root:insert value for 'JNJ' in '2016-10-19'
DEBUG:root:insert value for 'JNJ' in '2016-10-18'
DEBUG:root:insert value for 'JNJ' in '2016-10-17'
DEBUG:root:insert value for 'JNJ' in '2016-10-14'
DEBUG:root:insert value for 'JNJ' in '2016-10-13'
DEBUG:root:insert value for 'JNJ' in '2016-10-12'
DEBUG:root:insert value for 'JNJ' in '2016-10-11'
DEBUG:root:insert value for 'JNJ' in '2016-10-10'
DEBUG:root:insert value for 'JNJ' in '2016-10-07'
DEBUG:root:insert value for 'JNJ' in '2016-10-06'
DEBUG:root:insert value for 'JNJ' in '2016-10-05'
DEBUG:root:insert value for 'JNJ' in '2016-10-04'
DEBUG:root:insert value for 'JNJ' in '2016-10-03'
DEBUG:root:insert value for 'JNJ' in '2016-09-30'
DEBUG:root:insert value for 'JNJ' in '2016-09-29'
DEBUG:root:insert value for 'JNJ' in '2016-09-28'
DEBUG:root:insert value for 'JNJ' in '2016-09-27'
DEBUG:root:insert value for 'JNJ' in '2016-09-26'
DEBUG:root:insert value for 'JNJ' in '2016-09-23'
DEBUG:root:insert value for 'JNJ' in '2016-09-22'
DEBUG:root:insert value for 'JNJ' in '2016-09-21'
DEBUG:root:insert value for 'JNJ' in '2016-09-20'
DEBUG:root:insert value for 'JNJ' in '2016-09-19'
DEBUG:root:insert value for 'JNJ' in '2016-09-16'
DEBUG:root:insert value for 'JNJ' in '2016-09-15'
DEBUG:root:insert value for 'JNJ' in '2016-09-14'
DEBUG:root:insert value for 'JNJ' in '2016-09-13'
DEBUG:root:insert value for 'JNJ' in '2016-09-12'
DEBUG:root:insert value for 'JNJ' in '2016-09-09'
DEBUG:root:insert value for 'JNJ' in '2016-09-08'
DEBUG:root:insert value for 'JNJ' in '2016-09-07'
DEBUG:root:insert value for 'JNJ' in '2016-09-06'
DEBUG:root:insert value for 'JNJ' in '2016-09-02'
DEBUG:root:insert value for 'JNJ' in '2016-09-01'
DEBUG:root:insert value for 'JNJ' in '2016-08-31'
DEBUG:root:insert value for 'JNJ' in '2016-08-30'
DEBUG:root:insert value for 'JNJ' in '2016-08-29'
DEBUG:root:insert value for 'JNJ' in '2016-08-26'
DEBUG:root:insert value for 'JNJ' in '2016-08-25'
DEBUG:root:insert value for 'JNJ' in '2016-08-24'
DEBUG:root:insert value for 'JNJ' in '2016-08-23'
DEBUG:root:insert value for 'JNJ' in '2016-08-22'
DEBUG:root:insert value for 'JNJ' in '2016-08-19'
DEBUG:root:insert value for 'JNJ' in '2016-08-18'
DEBUG:root:insert value for 'JNJ' in '2016-08-17'
DEBUG:root:insert value for 'JNJ' in '2016-08-16'
DEBUG:root:insert value for 'JNJ' in '2016-08-15'
DEBUG:root:insert value for 'JNJ' in '2016-08-12'
DEBUG:root:insert value for 'JNJ' in '2016-08-11'
DEBUG:root:insert value for 'JNJ' in '2016-08-10'
DEBUG:root:insert value for 'JNJ' in '2016-08-09'
DEBUG:root:insert value for 'JNJ' in '2016-08-08'
DEBUG:root:insert value for 'JNJ' in '2016-08-05'
DEBUG:root:insert value for 'JNJ' in '2016-08-04'
DEBUG:root:insert value for 'JNJ' in '2016-08-03'
DEBUG:root:insert value for 'JNJ' in '2016-08-02'
DEBUG:root:insert value for 'JNJ' in '2016-08-01'
DEBUG:root:insert value for 'JNJ' in '2016-07-29'
DEBUG:root:insert value for 'JNJ' in '2016-07-28'
DEBUG:root:insert value for 'JNJ' in '2016-07-27'
DEBUG:root:insert value for 'JNJ' in '2016-07-26'
DEBUG:root:insert value for 'JNJ' in '2016-07-25'
DEBUG:root:insert value for 'JNJ' in '2016-07-22'
DEBUG:root:insert value for 'JNJ' in '2016-07-21'
DEBUG:root:insert value for 'JNJ' in '2016-07-20'
DEBUG:root:insert value for 'JNJ' in '2016-07-19'
DEBUG:root:insert value for 'JNJ' in '2016-07-18'
DEBUG:root:insert value for 'JNJ' in '2016-07-15'
DEBUG:root:insert value for 'JNJ' in '2016-07-14'
DEBUG:root:insert value for 'JNJ' in '2016-07-13'
DEBUG:root:insert value for 'JNJ' in '2016-07-12'
DEBUG:root:insert value for 'JNJ' in '2016-07-11'
DEBUG:root:insert value for 'JNJ' in '2016-07-08'
DEBUG:root:insert value for 'JNJ' in '2016-07-07'
DEBUG:root:insert value for 'JNJ' in '2016-07-06'
DEBUG:root:insert value for 'JNJ' in '2016-07-05'
DEBUG:root:insert value for 'JNJ' in '2016-07-01'
DEBUG:root:insert value for 'JNJ' in '2016-06-30'
DEBUG:root:insert value for 'JNJ' in '2016-06-29'
DEBUG:root:insert value for 'JNJ' in '2016-06-28'
DEBUG:root:insert value for 'JNJ' in '2016-06-27'
DEBUG:root:insert value for 'JNJ' in '2016-06-24'
DEBUG:root:insert value for 'JNJ' in '2016-06-23'
DEBUG:root:insert value for 'JNJ' in '2016-06-22'
DEBUG:root:insert value for 'JNJ' in '2016-06-21'
DEBUG:root:insert value for 'JNJ' in '2016-06-20'
DEBUG:root:insert value for 'JNJ' in '2016-06-17'
DEBUG:root:insert value for 'JNJ' in '2016-06-16'
DEBUG:root:insert value for 'JNJ' in '2016-06-15'
DEBUG:root:insert value for 'JNJ' in '2016-06-14'
DEBUG:root:insert value for 'JNJ' in '2016-06-13'
DEBUG:root:insert value for 'JNJ' in '2016-06-10'
DEBUG:root:insert value for 'JNJ' in '2016-06-09'
DEBUG:root:insert value for 'JNJ' in '2016-06-08'
DEBUG:root:insert value for 'JNJ' in '2016-06-07'
DEBUG:root:insert value for 'JNJ' in '2016-06-06'
DEBUG:root:insert value for 'JNJ' in '2016-06-03'
DEBUG:root:insert value for 'JNJ' in '2016-06-02'
DEBUG:root:insert value for 'JNJ' in '2016-06-01'
DEBUG:root:insert value for 'JNJ' in '2016-05-31'
DEBUG:root:insert value for 'JNJ' in '2016-05-27'
DEBUG:root:insert value for 'JNJ' in '2016-05-26'
DEBUG:root:insert value for 'JNJ' in '2016-05-25'
DEBUG:root:insert value for 'JNJ' in '2016-05-24'
DEBUG:root:insert value for 'JNJ' in '2016-05-23'
DEBUG:root:insert value for 'JNJ' in '2016-05-20'
DEBUG:root:insert value for 'JNJ' in '2016-05-19'
DEBUG:root:insert value for 'JNJ' in '2016-05-18'
DEBUG:root:insert value for 'JNJ' in '2016-05-17'
DEBUG:root:insert value for 'JNJ' in '2016-05-16'
DEBUG:root:insert value for 'JNJ' in '2016-05-13'
DEBUG:root:insert value for 'JNJ' in '2016-05-12'
DEBUG:root:insert value for 'JNJ' in '2016-05-11'
DEBUG:root:insert value for 'JNJ' in '2016-05-10'
DEBUG:root:insert value for 'JNJ' in '2016-05-09'
DEBUG:root:insert value for 'JNJ' in '2016-05-06'
DEBUG:root:insert value for 'JNJ' in '2016-05-05'
DEBUG:root:insert value for 'JNJ' in '2016-05-04'
DEBUG:root:insert value for 'JNJ' in '2016-05-03'
DEBUG:root:insert value for 'JNJ' in '2016-05-02'
DEBUG:root:insert value for 'JNJ' in '2016-04-29'
DEBUG:root:insert value for 'JNJ' in '2016-04-28'
DEBUG:root:insert value for 'JNJ' in '2016-04-27'
DEBUG:root:insert value for 'JNJ' in '2016-04-26'
DEBUG:root:insert value for 'JNJ' in '2016-04-25'
DEBUG:root:insert value for 'JNJ' in '2016-04-22'
DEBUG:root:insert value for 'JNJ' in '2016-04-21'
DEBUG:root:insert value for 'JNJ' in '2016-04-20'
DEBUG:root:insert value for 'JNJ' in '2016-04-19'
DEBUG:root:insert value for 'JNJ' in '2016-04-18'
DEBUG:root:insert value for 'JNJ' in '2016-04-15'
DEBUG:root:insert value for 'JNJ' in '2016-04-14'
DEBUG:root:insert value for 'JNJ' in '2016-04-13'
DEBUG:root:insert value for 'JNJ' in '2016-04-12'
DEBUG:root:insert value for 'JNJ' in '2016-04-11'
DEBUG:root:insert value for 'JNJ' in '2016-04-08'
DEBUG:root:insert value for 'JNJ' in '2016-04-07'
DEBUG:root:insert value for 'JNJ' in '2016-04-06'
DEBUG:root:insert value for 'JNJ' in '2016-04-05'
DEBUG:root:insert value for 'JNJ' in '2016-04-04'
DEBUG:root:insert value for 'JNJ' in '2016-04-01'
DEBUG:root:insert value for 'JNJ' in '2016-03-31'
DEBUG:root:insert value for 'JNJ' in '2016-03-30'
DEBUG:root:insert value for 'JNJ' in '2016-03-29'
DEBUG:root:insert value for 'JNJ' in '2016-03-28'
DEBUG:root:insert value for 'JNJ' in '2016-03-24'
DEBUG:root:insert value for 'JNJ' in '2016-03-23'
DEBUG:root:insert value for 'JNJ' in '2016-03-22'
DEBUG:root:insert value for 'JNJ' in '2016-03-21'
DEBUG:root:insert value for 'JNJ' in '2016-03-18'
DEBUG:root:insert value for 'JNJ' in '2016-03-17'
DEBUG:root:insert value for 'JNJ' in '2016-03-16'
DEBUG:root:insert value for 'JNJ' in '2016-03-15'
DEBUG:root:insert value for 'JNJ' in '2016-03-14'
DEBUG:root:insert value for 'JNJ' in '2016-03-11'
DEBUG:root:insert value for 'JNJ' in '2016-03-10'
DEBUG:root:insert value for 'JNJ' in '2016-03-09'
DEBUG:root:insert value for 'JNJ' in '2016-03-08'
DEBUG:root:insert value for 'JNJ' in '2016-03-07'
DEBUG:root:insert value for 'JNJ' in '2016-03-04'
DEBUG:root:insert value for 'JNJ' in '2016-03-03'
DEBUG:root:insert value for 'JNJ' in '2016-03-02'
DEBUG:root:insert value for 'JNJ' in '2016-03-01'
DEBUG:root:insert value for 'JNJ' in '2016-02-29'
DEBUG:root:insert value for 'JNJ' in '2016-02-26'
DEBUG:root:insert value for 'JNJ' in '2016-02-25'
DEBUG:root:insert value for 'JNJ' in '2016-02-24'
DEBUG:root:insert value for 'JNJ' in '2016-02-23'
DEBUG:root:insert value for 'JNJ' in '2016-02-22'
DEBUG:root:insert value for 'JNJ' in '2016-02-19'
DEBUG:root:insert value for 'JNJ' in '2016-02-18'
DEBUG:root:insert value for 'JNJ' in '2016-02-17'
DEBUG:root:insert value for 'JNJ' in '2016-02-16'
DEBUG:root:insert value for 'JNJ' in '2016-02-12'
DEBUG:root:insert value for 'JNJ' in '2016-02-11'
DEBUG:root:insert value for 'JNJ' in '2016-02-10'
DEBUG:root:insert value for 'JNJ' in '2016-02-09'
DEBUG:root:insert value for 'JNJ' in '2016-02-08'
DEBUG:root:insert value for 'JNJ' in '2016-02-05'
DEBUG:root:insert value for 'JNJ' in '2016-02-04'
DEBUG:root:insert value for 'JNJ' in '2016-02-03'
DEBUG:root:insert value for 'JNJ' in '2016-02-02'
DEBUG:root:insert value for 'JNJ' in '2016-02-01'
DEBUG:root:insert value for 'JNJ' in '2016-01-29'
DEBUG:root:insert value for 'JNJ' in '2016-01-28'
DEBUG:root:insert value for 'JNJ' in '2016-01-27'
DEBUG:root:insert value for 'JNJ' in '2016-01-26'
DEBUG:root:insert value for 'JNJ' in '2016-01-25'
DEBUG:root:insert value for 'JNJ' in '2016-01-22'
DEBUG:root:insert value for 'JNJ' in '2016-01-21'
DEBUG:root:insert value for 'JNJ' in '2016-01-20'
DEBUG:root:insert value for 'JNJ' in '2016-01-19'
DEBUG:root:insert value for 'JNJ' in '2016-01-15'
DEBUG:root:insert value for 'JNJ' in '2016-01-14'
DEBUG:root:insert value for 'JNJ' in '2016-01-13'
DEBUG:root:insert value for 'JNJ' in '2016-01-12'
DEBUG:root:insert value for 'JNJ' in '2016-01-11'
DEBUG:root:insert value for 'JNJ' in '2016-01-08'
DEBUG:root:insert value for 'JNJ' in '2016-01-07'
DEBUG:root:insert value for 'JNJ' in '2016-01-06'
DEBUG:root:insert value for 'JNJ' in '2016-01-05'
DEBUG:root:insert value for 'JNJ' in '2016-01-04'
DEBUG:root:insert value for 'JNJ' in '2015-12-31'
DEBUG:root:insert value for 'JNJ' in '2015-12-30'
DEBUG:root:insert value for 'JNJ' in '2015-12-29'
DEBUG:root:insert value for 'JNJ' in '2015-12-28'
DEBUG:root:insert value for 'JNJ' in '2015-12-24'
DEBUG:root:insert value for 'JNJ' in '2015-12-23'
DEBUG:root:insert value for 'JNJ' in '2015-12-22'
